lid,name,lat,lon,wfo,rfc,wrr,state,minor,moderate,major,code,date_produced,obj_or_subj,interval
CACS2,Little Missouri River at Camp Crook,45.54805556,-103.97111111,UNR,MBRFC,Missouri Region,SD,0.14,0.05,0.05,1,2/21/2023,obj,FMA
CAMN1,Republican River at Cambridge,40.28416667,-100.14333333,GID,MBRFC,Missouri Region,NE,0.05,0.05,0.05,1,2/21/2023,obj,FMA
CAXM7,Wakenda Creek at Carrollton,39.34361111,-93.48555556,EAX,MBRFC,Missouri Region,MO,0.60,0.50,0.16,3,2/21/2023,obj,FMA
CCMM8,Clear Creek (North-central MT) near Chinook near mouth,48.57888889,-109.39055556,TFX,MBRFC,Missouri Region,MT,0.05,0.05,0.05,1,2/21/2023,obj,FMA
CDBK1,Beaver Creek at Cedar Bluffs,39.98638889,-100.56000000,GLD,MBRFC,Missouri Region,KS,0.05,0.05,0.05,1,2/21/2023,obj,FMA
CHKI4,Little Sioux River at Cherokee,42.74472222,-95.54944444,FSD,MBRFC,Missouri Region,IA,0.06,0.05,0.05,1,2/21/2023,obj,FMA
CHPK1,Chapman Creek near Chapman,39.03111111,-97.04000000,TOP,MBRFC,Missouri Region,KS,0.15,0.05,0.05,1,2/21/2023,obj,FMA
CHTI4,Chariton River near Chariton,40.95194444,-93.25972222,DMX,MBRFC,Missouri Region,IA,0.08,0.05,0.05,1,2/21/2023,obj,FMA
CHZM7,Grand River near Chillicothe,39.75444444,-93.55638889,EAX,MBRFC,Missouri Region,MO,0.76,0.56,0.30,3,2/21/2023,obj,FMA
CLBM8,Missouri River near Culbertson,48.12250000,-104.47583333,GGW,MBRFC,Missouri Region,MT,0.05,0.05,0.05,1,2/21/2023,obj,FMA
CLBN1,Shell Creek near Columbus,41.52611111,-97.28166667,OAX,MBRFC,Missouri Region,NE,0.05,0.05,0.05,1,2/21/2023,obj,FMA
CLDK1,Elk Creek (KS) at Clyde,39.59111111,-97.39111111,TOP,MBRFC,Missouri Region,KS,0.05,0.05,0.05,1,2/21/2023,obj,FMA
CMBS2,James River near Columbia,45.60555556,-98.31166667,ABR,MBRFC,Missouri Region,SD,0.44,0.34,0.25,1,2/21/2023,obj,FMA
CMSM7,Missouri River near Chamois,38.68080000,-91.77300000,LSX,MBRFC,Missouri Region,MO,0.72,0.13,0.05,2,2/21/2023,obj,FMA
CMZM7,Sac River near Caplinger Mills,37.86972222,-93.80305556,SGF,MBRFC,Missouri Region,MO,0.54,0.43,0.12,2,2/21/2023,obj,FMA
CNKK1,Republican River at Concordia,39.58861111,-97.65805556,TOP,MBRFC,Missouri Region,KS,0.05,0.05,0.05,1,2/21/2023,obj,FMA
CORM8,Yellowstone River at Corwin Springs,45.11194444,-110.79361111,BYZ,MBRFC,Missouri Region,MT,0.05,0.05,0.05,1,2/21/2023,obj,FMA
COSS2,Split Rock Creek at Corson,43.61638889,-96.56500000,FSD,MBRFC,Missouri Region,SD,0.21,0.09,0.05,1,2/21/2023,obj,FMA
